Municipal,ID,Time,Change in Storage (mm),Runoff (mm),Soil Moisture (mm),Precipitation (mm),Evapotranspiration (mm)
Conner,"1408102000	",07/15/2018,73,86,725,313,154
Conner,"1408102000	",08/15/2018,25,196,778,343,122
Conner,"1408102000	",09/15/2018,-32,290,779,398,140
Conner,"1408102000	",10/15/2018,70,142,729,331,119
Conner,"1408102000	",11/15/2018,-132,79,725,36,89
Conner,"1408102000	",12/15/2018,153,49,700,270,68
Conner,"1408102000	",01/15/2019,-112,123,748,95,84
Conner,"1408102000	",02/15/2019,-114,15,671,6,105
Conner,"1408102000	",03/15/2019,-46,3,588,70,113
Conner,"1408102000	",04/15/2019,56,8,618,195,131
Conner,"1408102000	",05/15/2019,169,182,751,505,154
Conner,"1408102000	",06/15/2019,13,169,753,340,158
Conner,"1408102000	",07/15/2019,-10,426,800,569,153
Conner,"1408102000	",08/15/2019,35,161,764,329,133
Conner,"1408102000	",09/15/2019,-56,316,796,372,112
Conner,"1408102000	",10/15/2019,21,139,769,270,110
Conner,"1408102000	",11/15/2019,4,472,813,541,65
Conner,"1408102000	",12/15/2019,-21,434,794,478,65
Conner,"1408102000	",01/15/2020,-58,95,753,119,82
Conner,"1408102000	",02/15/2020,-2,30,721,110,82
Conner,"1408102000	",03/15/2020,-92,2,583,9,99
Conner,"1408102000	",04/15/2020,3,1,520,94,90
Conner,"1408102000	",05/15/2020,68,5,553,196,123
Conner,"1408102000	",06/15/2020,-59,1,573,77,135
Conner,"1408102000	",07/15/2020,32,2,541,170,136
Conner,"1408102000	",08/15/2020,58,2,617,189,129
Conner,"1408102000	",09/15/2020,-5,2,628,120,123
Conner,"1408102000	",10/15/2020,170,160,730,414,84
Conner,"1408102000	",11/15/2020,-37,389,791,417,65
Conner,"1408102000	",12/15/2020,12,191,778,269,66
Conner,"1408102000	",01/15/2021,-26,88,746,111,49
Conner,"1408102000	",02/15/2021,-49,36,722,60,73
Conner,"1408102000	",03/15/2021,-33,14,682,86,105
Conner,"1408102000	",04/15/2021,-68,5,626,43,106
Conner,"1408102000	",05/15/2021,-77,1,568,56,132
Conner,"1408102000	",06/15/2021,24,3,546,165,138
Conner,"1408102000	",07/15/2021,92,4,578,232,136
Conner,"1408102000	",08/15/2021,70,8,674,212,134
Conner,"1408102000	",09/15/2021,-22,70,732,176,128
Conner,"1408102000	",10/15/2021,20,208,759,320,92
Conner,"1408102000	",11/15/2021,42,25,702,145,78
Conner,"1408102000	",12/15/2021,-21,53,736,83,51
Conner,"1408102000	",01/15/2022,8,41,723,125,76
Conner,"1408102000	",02/15/2022,-23,23,709,72,72
Conner,"1408102000	",03/15/2022,-79,10,664,41,110
Conner,"1408102000	",04/15/2022,-34,3,616,67,98
Conner,"1408102000	",05/15/2022,151,19,657,295,125
Conner,"1408102000	",06/15/2022,-46,31,713,129,144
Conner,"1408102000	",07/15/2022,-17,23,708,151,145
Conner,"1408102000	",08/15/2022,65,122,764,308,121
Conner,"1408102000	",09/15/2022,-27,99,743,193,121
Conner,"1408102000	",10/15/2022,83,370,784,542,89
Conner,"1408102000	",11/15/2022,-97,98,747,91,90
Conner,"1408102000	",12/15/2022,26,53,737,135,56
Conner,"1408102000	",01/15/2023,-57,52,731,58,63
Conner,"1408102000	",02/15/2023,-21,19,677,71,73
Conner,"1408102000	",03/15/2023,-96,5,634,13,104
Conner,"1408102000	",04/15/2023,-31,2,565,68,97
Conner,"1408102000	",05/15/2023,74,3,558,204,127
Conner,"1408102000	",06/15/2023,31,14,617,178,133
Conner,"1408102000	",07/15/2023,131,225,729,499,143
Conner,"1408102000	",08/15/2023,27,220,744,381,134
Conner,"1408102000	",09/15/2023,-89,158,774,191,122
Conner,"1408102000	",10/15/2023,3,77,744,183,103
Conner,"1408102000	",11/15/2023,5,52,731,123,66
Conner,"1408102000	",12/15/2023,-4,46,727,108,66
Conner,"1408102000	",01/15/2024,-67,25,701,23,65
Conner,"1408102000	",03/15/2024,-52,1,542,37,88
Conner,"1408102000	",04/15/2024,-50,1,485,42,91
Conner,"1408102000	",05/15/2024,97,3,501,218,118
Conner,"1408102000	",06/15/2024,-6,2,584,137,141
Conner,"1408102000	",07/15/2024,186,37,615,375,152
Conner,"1408102000	",08/15/2024,-39,37,723,158,160
Conner,"1408102000	",09/15/2024,150,253,783,530,127
Conner,"1408102000	",10/15/2024,-40,259,782,342,123
Conner,"1408102000	",11/15/2024,-94,388,788,387,93
Conner,"1408102000	",12/15/2024,18,104,755,192,70
Flora,"1408103000	",01/15/2016,-18,67,737,148,99
Flora,"1408103000	",02/15/2016,46,117,760,252,89
Flora,"1408103000	",03/15/2016,-58,105,755,179,132
Flora,"1408103000	",04/15/2016,-73,19,684,107,161
Flora,"1408103000	",05/15/2016,119,76,707,372,177
Flora,"1408103000	",06/15/2016,-88,134,759,226,180
Flora,"1408103000	",07/15/2016,100,88,680,356,168
Flora,"1408103000	",08/15/2016,-6,105,763,238,139
Flora,"1408103000	",09/15/2016,-44,105,759,186,125
Flora,"1408103000	",10/15/2016,-1,378,778,489,112
Flora,"1408103000	",11/15/2016,50,94,749,224,80
Flora,"1408103000	",12/15/2016,37,394,801,496,65
Flora,"1408103000	",01/15/2017,-4,205,775,278,77
Flora,"1408103000	",02/15/2017,-50,231,784,258,77
Flora,"1408103000	",03/15/2017,-66,50,723,111,127
Flora,"1408103000	",04/15/2017,10,25,707,189,154
Flora,"1408103000	",05/15/2017,93,131,741,382,158
Flora,"1408103000	",06/15/2017,-88,85,747,173,176
Flora,"1408103000	",07/15/2017,-21,27,713,159,153
Flora,"1408103000	",08/15/2017,39,31,718,221,151
Flora,"1408103000	",09/15/2017,-62,28,716,101,135
Flora,"1408103000	",10/15/2017,103,95,728,295,97
Flora,"1408103000	",11/15/2017,-41,188,765,230,83
Flora,"1408103000	",12/15/2017,57,385,793,503,61
Flora,"1408103000	",01/15/2018,-49,178,773,213,84
Flora,"1408103000	",02/15/2018,-5,101,763,183,87
Flora,"1408103000	",03/15/2018,-54,39,725,114,129
Flora,"1408103000	",04/15/2018,8,20,703,180,152
Flora,"1408103000	",05/15/2018,-82,12,673,106,176
Flora,"1408103000	",06/15/2018,16,6,620,171,149
Flora,"1408103000	",07/15/2018,68,16,661,246,162
Flora,"1408103000	",08/15/2018,64,79,744,276,133
Flora,"1408103000	",09/15/2018,-48,261,759,361,148
Flora,"1408103000	",10/15/2018,84,61,691,267,122
Flora,"1408103000	",11/15/2018,-113,58,720,41,96
Flora,"1408103000	",12/15/2018,174,76,710,323,73
Flora,"1408103000	",01/15/2019,-114,164,761,142,92
Flora,"1408103000	",02/15/2019,-130,19,680,5,116
Flora,"1408103000	",03/15/2019,-42,2,592,93,133
Flora,"1408103000	",04/15/2019,109,16,656,281,156
Flora,"1408103000	",05/15/2019,102,159,763,432,171
Flora,"1408103000	",06/15/2019,21,157,747,347,169
Flora,"1408103000	",07/15/2019,-9,342,798,502,169
Flora,"1408103000	",08/15/2019,20,129,759,296,147
Flora,"1408103000	",09/15/2019,-38,324,799,406,120
Flora,"1408103000	",10/15/2019,40,223,791,378,115
Flora,"1408103000	",11/15/2019,-10,682,828,745,73
Flora,"1408103000	",12/15/2019,-9,682,810,743,70
Flora,"1408103000	",01/15/2020,-44,161,776,202,85
Flora,"1408103000	",02/15/2020,-22,107,763,175,90
Flora,"1408103000	",03/15/2020,-112,1,580,4,115
Flora,"1408103000	",04/15/2020,-44,0,492,51,95
Flora,"1408103000	",05/15/2020,45,2,479,172,125
Flora,"1408103000	",06/15/2020,-92,0,477,34,126
Flora,"1408103000	",07/15/2020,24,1,414,151,126
Flora,"1408103000	",08/15/2020,53,1,492,183,129
Flora,"1408103000	",09/15/2020,-31,0,480,79,110
Flora,"1408103000	",10/15/2020,272,12,564,368,84
Flora,"1408103000	",11/15/2020,-17,365,789,419,71
Flora,"1408103000	",12/15/2020,48,193,776,314,73
Flora,"1408103000	",01/15/2021,-21,94,749,121,48
Flora,"1408103000	",02/15/2021,-53,42,730,65,76
Flora,"1408103000	",03/15/2021,-68,9,670,55,114
Flora,"1408103000	",04/15/2021,-73,2,595,42,113
Flora,"1408103000	",05/15/2021,-113,0,511,23,136
Flora,"1408103000	",06/15/2021,-3,1,457,131,133
Flora,"1408103000	",07/15/2021,26,1,436,152,125
Flora,"1408103000	",08/15/2021,67,2,534,207,138
Flora,"1408103000	",09/15/2021,46,4,597,179,129
Flora,"1408103000	",10/15/2021,120,117,730,336,99
Flora,"1408103000	",11/15/2021,76,43,718,202,83
Flora,"1408103000	",12/15/2021,-46,76,747,85,55
Flora,"1408103000	",01/15/2022,-5,52,729,126,79
Flora,"1408103000	",02/15/2022,-41,17,700,50,74
Flora,"1408103000	",03/15/2022,-100,4,636,23,119
Flora,"1408103000	",04/15/2022,-53,0,574,46,99
Flora,"1408103000	",05/15/2022,132,4,587,269,133
Flora,"1408103000	",06/15/2022,-57,2,634,94,149
Flora,"1408103000	",07/15/2022,-36,2,612,118,152
Flora,"1408103000	",08/15/2022,136,19,688,288,133
Flora,"1408103000	",09/15/2022,-21,64,727,169,126
Flora,"1408103000	",10/15/2022,123,402,781,623,98
Flora,"1408103000	",11/15/2022,-77,127,760,148,98
Flora,"1408103000	",12/15/2022,36,109,765,206,61
Flora,"1408103000	",01/15/2023,-91,85,742,65,71
Flora,"1408103000	",02/15/2023,-9,14,685,87,82
Flora,"1408103000	",03/15/2023,-113,5,643,10,118
Flora,"1408103000	",04/15/2023,-65,0,550,39,104
Flora,"1408103000	",05/15/2023,19,2,488,140,119
Flora,"1408103000	",06/15/2023,30,6,530,173,137
Flora,"1408103000	",07/15/2023,220,94,629,461,147
Flora,"1408103000	",08/15/2023,44,264,738,450,142
Flora,"1408103000	",09/15/2023,-116,165,767,178,129
Flora,"1408103000	",10/15/2023,8,87,747,208,113
Flora,"1408103000	",11/15/2023,35,75,741,180,70
Flora,"1408103000	",12/15/2023,-13,79,746,138,72
Flora,"1408103000	",01/15/2024,-80,28,704,14,66
Flora,"1408103000	",03/15/2024,-77,0,523,23,100
Flora,"1408103000	",04/15/2024,-88,0,440,14,102
Flora,"1408103000	",05/15/2024,46,1,400,158,111
Flora,"1408103000	",06/15/2024,-30,1,450,101,130
Flora,"1408103000	",07/15/2024,215,23,466,380,142
Flora,"1408103000	",08/15/2024,-34,2,615,125,157
Flora,"1408103000	",09/15/2024,269,219,742,627,139
Flora,"1408103000	",10/15/2024,-44,252,778,341,133
Flora,"1408103000	",11/15/2024,-69,411,801,446,104
Flora,"1408103000	",12/15/2024,13,111,761,198,74
Kabugao,1408104000,01/15/2016,-23,49,610,129,103
Kabugao,1408104000,02/15/2016,30,96,641,222,96
Kabugao,1408104000,03/15/2016,-24,67,627,174,131
Kabugao,1408104000,04/15/2016,63,63,627,285,159
Kabugao,1408104000,05/15/2016,33,659,723,864,172
Kabugao,1408104000,06/15/2016,-81,234,677,318,165
Kabugao,1408104000,07/15/2016,172,237,653,573,164
Kabugao,1408104000,08/15/2016,-112,302,686,313,123
Kabugao,1408104000,09/15/2016,-50,165,666,228,113
Kabugao,1408104000,10/15/2016,-12,492,687,580,100
Kabugao,1408104000,11/15/2016,5,55,611,135,75
Kabugao,1408104000,12/15/2016,75,183,663,324,66
Kabugao,1408104000,01/15/2017,-22,128,645,192,86
Kabugao,1408104000,02/15/2017,-44,155,662,192,81
Kabugao,1408104000,03/15/2017,-49,48,603,129,130
Kabugao,1408104000,04/15/2017,63,90,633,308,155
Kabugao,1408104000,05/15/2017,57,477,715,685,151
Kabugao,1408104000,06/15/2017,-54,201,677,310,163
Kabugao,1408104000,07/15/2017,22,303,695,470,145
Kabugao,1408104000,08/15/2017,24,293,693,462,145
Kabugao,1408104000,09/15/2017,-83,184,669,224,123
Kabugao,1408104000,10/15/2017,28,232,650,353,93
Kabugao,1408104000,11/15/2017,-40,187,658,230,83
Kabugao,1408104000,12/15/2017,42,136,648,244,66
Kabugao,1408104000,01/15/2018,-20,110,646,183,93
Kabugao,1408104000,02/15/2018,-37,50,615,106,93
Kabugao,1408104000,03/15/2018,-43,41,598,127,129
Kabugao,1408104000,04/15/2018,143,81,617,375,151
Kabugao,1408104000,05/15/2018,-56,307,683,424,173
Kabugao,1408104000,06/15/2018,23,177,672,343,143
Kabugao,1408104000,07/15/2018,1,364,696,518,153
Kabugao,1408104000,08/15/2018,25,376,700,522,121
Kabugao,1408104000,09/15/2018,-54,476,694,557,135
Kabugao,1408104000,10/15/2018,83,133,639,338,122
Kabugao,1408104000,11/15/2018,-154,106,618,44,92
Kabugao,1408104000,12/15/2018,125,23,555,216,68
Kabugao,1408104000,01/15/2019,-107,91,625,81,97
Kabugao,1408104000,02/15/2019,-107,11,537,13,109
Kabugao,1408104000,03/15/2019,-34,2,454,87,119
Kabugao,1408104000,04/15/2019,189,55,582,389,145
Kabugao,1408104000,05/15/2019,68,427,702,651,156
Kabugao,1408104000,06/15/2019,16,307,684,482,159
Kabugao,1408104000,07/15/2019,-15,484,704,623,154
Kabugao,1408104000,08/15/2019,4,199,668,331,128
Kabugao,1408104000,09/15/2019,-40,375,697,445,110
Kabugao,1408104000,10/15/2019,-13,141,654,239,111
Kabugao,1408104000,11/15/2019,36,651,721,754,67
Kabugao,1408104000,12/15/2019,-15,525,694,582,72
Kabugao,1408104000,01/15/2020,-59,114,644,144,89
Kabugao,1408104000,02/15/2020,-4,54,622,144,94
Kabugao,1408104000,03/15/2020,-106,2,453,4,108
Kabugao,1408104000,04/15/2020,-37,0,372,51,88
Kabugao,1408104000,05/15/2020,63,2,372,173,108
Kabugao,1408104000,06/15/2020,-78,0,386,35,113
Kabugao,1408104000,07/15/2020,34,1,338,152,117
Kabugao,1408104000,08/15/2020,62,1,425,184,121
Kabugao,1408104000,09/15/2020,-21,0,422,78,99
Kabugao,1408104000,10/15/2020,258,29,510,367,80
Kabugao,1408104000,11/15/2020,-60,410,691,417,67
Kabugao,1408104000,12/15/2020,52,190,667,312,70
Kabugao,1408104000,01/15/2021,-32,93,633,120,59
Kabugao,1408104000,02/15/2021,-61,44,609,64,81
Kabugao,1408104000,03/15/2021,-67,11,545,55,111
Kabugao,1408104000,04/15/2021,-68,2,472,42,108
Kabugao,1408104000,05/15/2021,-96,0,398,23,119
Kabugao,1408104000,06/15/2021,14,1,364,132,117
Kabugao,1408104000,07/15/2021,45,1,356,155,109
Kabugao,1408104000,08/15/2021,84,2,477,207,121
Kabugao,1408104000,09/15/2021,47,13,550,179,119
Kabugao,1408104000,10/15/2021,59,182,646,335,94
Kabugao,1408104000,11/15/2021,72,43,604,200,85
Kabugao,1408104000,12/15/2021,-50,80,632,84,54
Kabugao,1408104000,01/15/2022,-9,53,608,126,82
Kabugao,1408104000,02/15/2022,-48,19,575,51,80
Kabugao,1408104000,03/15/2022,-96,5,510,23,114
Kabugao,1408104000,04/15/2022,-51,1,451,46,96
Kabugao,1408104000,05/15/2022,147,4,473,269,118
Kabugao,1408104000,06/15/2022,-41,6,537,95,130
Kabugao,1408104000,07/15/2022,-29,5,525,119,143
Kabugao,1408104000,08/15/2022,125,46,604,290,119
Kabugao,1408104000,09/15/2022,-31,89,624,169,111
Kabugao,1408104000,10/15/2022,133,396,680,622,93
Kabugao,1408104000,11/15/2022,-98,147,651,145,96
Kabugao,1408104000,12/15/2022,37,107,650,204,60
Kabugao,1408104000,01/15/2023,-98,91,628,69,76
Kabugao,1408104000,02/15/2023,-10,14,562,86,82
Kabugao,1408104000,03/15/2023,-110,7,521,10,113
Kabugao,1408104000,04/15/2023,-64,1,430,38,101
Kabugao,1408104000,05/15/2023,36,2,379,139,101
Kabugao,1408104000,06/15/2023,52,4,442,174,118
Kabugao,1408104000,07/15/2023,201,127,555,461,133
Kabugao,1408104000,08/15/2023,51,276,639,449,122
Kabugao,1408104000,09/15/2023,-137,200,663,179,116
Kabugao,1408104000,10/15/2023,3,99,637,208,106
Kabugao,1408104000,11/15/2023,27,78,626,177,72
Kabugao,1408104000,12/15/2023,-8,74,629,136,70
Kabugao,1408104000,01/15/2024,-91,30,579,14,75
Kabugao,1408104000,03/15/2024,-69,1,398,23,91
Kabugao,1408104000,04/15/2024,-74,0,328,14,88
Kabugao,1408104000,05/15/2024,61,1,302,158,96
Kabugao,1408104000,06/15/2024,-11,1,368,103,113
Kabugao,1408104000,07/15/2024,229,17,398,381,135
Kabugao,1408104000,08/15/2024,-36,9,553,125,152
Kabugao,1408104000,09/15/2024,249,250,662,627,128
Kabugao,1408104000,10/15/2024,-63,282,674,341,122
Kabugao,1408104000,11/15/2024,-74,424,699,444,94
Kabugao,1408104000,12/15/2024,11,117,650,197,69
Luna,1408105000,01/15/2016,-43,57,729,119,105
Luna,1408105000,02/15/2016,59,85,751,235,91
Luna,1408105000,03/15/2016,-95,73,733,100,122
Luna,1408105000,04/15/2016,-115,6,631,19,128
Luna,1408105000,05/15/2016,1,3,569,148,144
Luna,1408105000,06/15/2016,-56,2,570,92,146
Luna,1408105000,07/15/2016,70,30,491,230,130
Luna,1408105000,08/15/2016,35,2,596,167,130
Luna,1408105000,09/15/2016,-22,2,616,80,100
Luna,1408105000,10/15/2016,146,171,697,423,106
Luna,1408105000,11/15/2016,50,152,759,285,83
Luna,1408105000,12/15/2016,30,430,806,532,72
Luna,1408105000,01/15/2017,-18,203,773,273,88
Luna,1408105000,02/15/2017,-41,207,782,245,79
Luna,1408105000,03/15/2017,-94,48,717,77,123
Luna,1408105000,04/15/2017,-72,7,649,66,131
Luna,1408105000,05/15/2017,30,4,592,164,130
Luna,1408105000,06/15/2017,-74,2,600,77,149
Luna,1408105000,07/15/2017,-50,1,540,86,135
Luna,1408105000,08/15/2017,86,7,533,222,129
Luna,1408105000,09/15/2017,-43,2,589,63,104
Luna,1408105000,10/15/2017,244,84,688,422,94
Luna,1408105000,11/15/2017,-49,221,768,256,84
Luna,1408105000,12/15/2017,50,396,804,518,72
Luna,1408105000,01/15/2018,-50,214,776,255,91
Luna,1408105000,02/15/2018,-8,218,784,297,87
Luna,1408105000,03/15/2018,-46,47,728,128,127
Luna,1408105000,04/15/2018,-43,15,686,112,140
Luna,1408105000,05/15/2018,-107,3,606,46,150
Luna,1408105000,06/15/2018,-32,2,531,93,123
Luna,1408105000,07/15/2018,44,7,535,197,146
Luna,1408105000,08/15/2018,55,5,576,185,125
Luna,1408105000,09/15/2018,74,107,671,310,129
Luna,1408105000,10/15/2018,80,33,673,226,113
Luna,1408105000,11/15/2018,-81,35,710,49,95
Luna,1408105000,12/15/2018,189,133,728,407,85
Luna,1408105000,01/15/2019,-118,213,769,197,102
Luna,1408105000,02/15/2019,-134,26,687,3,111
Luna,1408105000,03/15/2019,-56,3,596,68,121
Luna,1408105000,04/15/2019,34,6,616,178,138
Luna,1408105000,05/15/2019,62,8,643,225,155
Luna,1408105000,06/15/2019,53,15,643,220,152
Luna,1408105000,07/15/2019,41,69,730,278,168
Luna,1408105000,08/15/2019,56,96,745,298,146
Luna,1408105000,09/15/2019,-19,324,800,421,116
Luna,1408105000,10/15/2019,49,331,804,497,117
Luna,1408105000,11/15/2019,-29,944,839,1002,87
Luna,1408105000,12/15/2019,3,828,814,913,82
Luna,1408105000,01/15/2020,-36,232,787,288,92
Luna,1408105000,02/15/2020,-36,151,777,209,94
Luna,1408105000,03/15/2020,-98,2,585,4,100
Luna,1408105000,04/15/2020,-34,1,512,51,84
Luna,1408105000,05/15/2020,50,2,507,172,120
Luna,1408105000,06/15/2020,-84,0,509,34,118
Luna,1408105000,07/15/2020,22,1,451,151,128
Luna,1408105000,08/15/2020,49,1,523,183,133
Luna,1408105000,09/15/2020,-15,0,516,81,96
Luna,1408105000,10/15/2020,256,22,607,368,90
Luna,1408105000,11/15/2020,-49,390,790,420,79
Luna,1408105000,12/15/2020,52,179,772,314,83
Luna,1408105000,01/15/2021,-23,90,746,120,53
Luna,1408105000,02/15/2021,-54,41,728,64,77
